X,Filing Date,Trade Date,Ticker,Company Name,Industry,Ins,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
M,2024-03-28 19:00:30,2024-03-26,LILA,Liberty Latin America Ltd.,Cable & Other Pay Television Services,3,P - Purchase,6.76,"+1,777,209","12,663,127",+16%,"+$12,021,211",,,,
,2024-03-28 18:23:59,2024-03-27,PX,"P10, Inc.",Investment Advice,2,P - Purchase,8.31,"+65,000","134,545",+93%,"+$540,450",,,,
,2024-04-01 13:54:51,2024-03-28,SOWG,Sow Good Inc.,Food & Kindred Products,5,P - Purchase,7.25,"+147,244","4,838,192",+3%,"+$1,067,521",,,,
,2024-04-02 17:26:28,2024-04-01,DLTR,"Dollar Tree, Inc.",Variety Stores,2,P - Purchase,133.09,"+2,800","25,272",+12%,"+$372,644",,,,
,2024-04-09 09:13:33,2024-04-05,PGY,Pagaya Technologies Ltd.,Finance Services,6,P - Purchase,10.33,"+194,807","1,354,902",+17%,"+$2,012,402",,,,
M,2024-04-15 17:01:13,2024-04-08,CRMT,Americas Carmart Inc,Auto Dealers & Gasoline Stations,2,P - Purchase,59.5,"+48,924","812,841",+6%,"+$2,910,898",,,,
,2024-04-10 09:44:51,2024-04-09,ANIX,Anixa Biosciences Inc,Pharmaceutical Preparations,3,P - Purchase,3.31,"+55,009","1,439,962",+4%,"+$182,130",,,,
,2024-04-11 19:00:08,2024-04-09,TKO,"Tko Group Holdings, Inc.",Amusement & Recreation Services,2,P - Purchase,89.01,"+3,285,940","3,298,471",>999%,"+$292,481,520",,,,
,2024-04-10 16:44:21,2024-04-10,GAM,General American Investors Co Inc,Closed-End Funds,2,P - Purchase,25.05,"+6,500","388,340",+2%,"+$162,850",,,,
,2024-04-15 17:45:26,2024-04-11,WBA,"Walgreens Boots Alliance, Inc.",Drug Stores & Proprietary Stores,2,P - Purchase,18.94,"+9,000","169,969",+6%,"+$170,430",,,,
,2024-04-15 16:03:27,2024-04-12,SAIC,Science Applications International Corp,Computer Integrated Systems Design,2,P - Purchase,125.98,"+3,795","56,824",+7%,"+$478,096",,,,
,2024-04-15 12:08:17,2024-04-12,FTHY,First Trust High Yield Opportunities 2027 Term Fund,Closed-End Funds,3,P - Purchase,14.35,"+93,100","121,100",+333%,"+$1,335,722",,,,
M,2024-04-17 16:20:14,2024-04-15,BRT,Brt Apartments Corp.,Operators of Nonresidential Buildings,3,P - Purchase,16.87,"+184,530","12,278,726",+2%,"+$3,113,908",,,,
D,2024-04-18 16:35:15,2024-04-16,ULS,Ul Solutions Inc.,Testing Laboratories,20,P - Purchase,28.0,"+589,420","589,420",%,"+$16,503,760",,,,
,2024-04-17 12:04:37,2024-04-17,NEOG,Neogen Corp,In Vitro & In Vivo Diagnostic Substances,4,P - Purchase,12.49,"+53,000","249,952",+27%,"+$662,087",,,,
D,2024-04-24 14:10:19,2024-04-19,INMB,"Inmune Bio, Inc.","Biological Products, (No Diagnostic Substances)",4,P - Purchase,8.32,"+80,082","4,384,314",+2%,"+$666,282",,,,
M,2024-04-23 18:13:23,2024-04-19,LOVE,Lovesac Co,Furniture Stores,2,P - Purchase,19.91,"+26,800","345,340",+8%,"+$533,610",,,,
D,2024-04-22 16:55:36,2024-04-22,CTRI,"Centuri Holdings, Inc.",Natural Gas Transmission & Distribution,8,P - Purchase,21.0,"+137,150","137,150",%,"+$2,880,150",,,,
M,2024-04-26 08:29:10,2024-04-25,BANC,"Banc of California, Inc.",National Commercial Banks,2,P - Purchase,16.51,"+32,130","3,692,974",+1%,"+$530,339",,,,
,2024-04-26 09:19:56,2024-04-25,MSCI,Msci Inc.,Business Services,2,P - Purchase,463.54,"+20,500","2,394,584",+1%,"+$9,502,530",,,,
D,2024-04-29 20:51:19,2024-04-26,JBHT,Hunt J B Transport Services Inc,Trucking (No Local),2,P - Purchase,179.78,"+11,200","333,574",+3%,"+$2,013,500",,,,
