X,Filing Date,Trade Date,Ticker,Company Name,Industry,Ins,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,Current Price,Price Increase (%),Days Since Trade
,2023-11-03 11:04:32,2023-11-02,FSBC,Five Star Bancorp,State Commercial Banks,2,P - Purchase,18.83,"+7,155","339,308",+2%,"+$134,707",,,,,25.690000534057617,36.431229602005416,63
,2023-11-06 08:00:11,2023-11-03,SRPT,"Sarepta Therapeutics, Inc.",Pharmaceutical Preparations,2,P - Purchase,78.99,"+75,225","3,470,149",+2%,"+$5,942,300",,,,,93.69000244140625,18.609953717440504,62
,2023-11-03 13:59:46,2023-11-03,NEOG,Neogen Corp,In Vitro & In Vivo Diagnostic Substances,4,P - Purchase,15.19,"+25,000","93,032",+37%,"+$379,737",,,,,19.5,28.373930217248194,62
,2023-11-07 14:18:02,2023-11-06,TBI,"Trueblue, Inc.",Help Supply Services,6,P - Purchase,11.47,"+37,050","334,595",+12%,"+$424,884",,,,,14.5,26.41673931996512,59
,2023-11-07 19:33:41,2023-11-07,DIN,"Dine Brands Global, Inc.",Eating Places,2,P - Purchase,44.4,"+3,395","97,620",+4%,"+$150,742",,,,,46.25,4.16666666666667,58
,2023-11-08 16:39:48,2023-11-07,FCPT,"Four Corners Property Trust, Inc.",Real Estate Investment Trusts,2,P - Purchase,21.94,"+13,950","632,454",+2%,"+$306,063",,,,,24.809999465942383,13.081127921341757,58
M,2023-11-09 15:12:45,2023-11-07,B,Barnes Group Inc,Miscellaneous Fabricated Metal Products,5,P - Purchase,21.51,"+183,500","750,476",+32%,"+$3,947,631",,,,,30.3700008392334,41.19014802061086,58
,2023-11-09 16:05:23,2023-11-08,AMPY,Amplify Energy Corp.,Crude Petroleum & Natural Gas,2,P - Purchase,6.07,"+20,000","20,000",%,"+$121,462",,,,,5.929999828338623,-2.3064278692154403,57
D,2023-11-09 14:02:53,2023-11-08,ZBRA,Zebra Technologies Corp,General Industrial Machinery & Equipment,2,P - Purchase,206.41,"+1,698","63,838",+3%,"+$350,480",,,,,253.57000732421875,22.847733794011315,57
,2023-11-13 11:52:42,2023-11-09,PETS,Petmed Express Inc,Drug Stores & Proprietary Stores,3,P - Purchase,7.32,"+61,738","750,748",+9%,"+$451,683",,,,,7.170899868011475,-2.0368870490235746,56
,2023-11-13 16:15:34,2023-11-09,BRP,"Brp Group, Inc.","Insurance Agents, Brokers & Service",2,P - Purchase,19.97,"+15,000","187,542",+9%,"+$299,550",,,,,23.549999237060547,17.926886515075356,56
M,2023-11-13 16:10:22,2023-11-09,BALY,Bally'S Corp,Hotels & Motels,6,P - Purchase,9.37,"+76,400","1,021,768",+8%,"+$715,570",,,,,12.3100004196167,31.376738736570974,56
,2023-11-09 15:24:37,2023-11-09,SOFI,"Sofi Technologies, Inc.",Finance Services,2,P - Purchase,6.76,"+58,950","8,066,357",+1%,"+$398,261",,,,,8.56820011138916,26.74852235782782,56
,2023-11-13 07:29:41,2023-11-09,AES,Aes Corp,Cogeneration Services & Small Power Producers,6,P - Purchase,16.38,"+60,959","2,188,937",+3%,"+$998,290",,,,,18.774999618530273,14.621487292614619,56
,2023-11-13 17:03:39,2023-11-10,ERII,"Energy Recovery, Inc.",Special Industry Machinery,4,P - Purchase,17.99,"+20,350","68,673",+42%,"+$366,160",,,,,18.110000610351562,0.6670406356396001,55
,2023-11-13 17:24:19,2023-11-10,ZNTL,"Zentalis Pharmaceuticals, Inc.",Pharmaceutical Preparations,2,P - Purchase,9.97,"+22,000","399,189",+6%,"+$219,391",,,,,15.59000015258789,56.3691088524362,55
,2023-11-17 18:15:47,2023-11-10,PCT,"Purecycle Technologies, Inc.","Plastic Materials, Synth Resins & Nonvulcan Elastomers",5,P - Purchase,3.59,"+144,479","1,427,868",+11%,"+$519,234",,,,,3.4600000381469727,-3.6211688538447686,55
,2023-11-15 16:48:17,2023-11-13,JANX,"Janux Therapeutics, Inc.",Pharmaceutical Preparations,3,P - Purchase,5.87,"+2,549,562","24,762,472",+11%,"+$14,965,929",,,,,10.579999923706055,80.23849955206227,52
,2023-11-14 19:00:58,2023-11-14,TKO,"Tko Group Holdings, Inc.",Amusement & Recreation Services,5,P - Purchase,79.8,"+35,712","44,220",+420%,"+$2,849,818",,,,,79.80000305175781,3.82425791396262e-06,51
,2023-11-14 20:02:17,2023-11-14,TELA,"Tela Bio, Inc.",Surgical & Medical Instruments & Apparatus,2,P - Purchase,4.52,"+21,000","366,005",+6%,"+$94,914",,,,,6.78000020980835,50.000004641777664,51
,2023-11-15 16:14:50,2023-11-14,AAN,"Aaron'S Company, Inc.",Equipment Rental & Leasing,5,P - Purchase,7.33,"+107,500","581,010",+23%,"+$788,295",,,,,11.34000015258789,54.70668693844325,51
,2023-11-15 16:15:28,2023-11-14,CTOS,"Custom Truck One Source, Inc.",Equipment Rental & Leasing,2,P - Purchase,4.94,"+50,000","691,030",+8%,"+$247,235",,,,,6.195000171661377,25.40486177452179,51
M,2023-11-16 18:25:03,2023-11-14,AMRC,"Ameresco, Inc.",Special Trade Contractors,2,P - Purchase,24.03,"+80,000","2,144,853",+4%,"+$1,921,999",,,,,29.614999771118164,23.24178015446593,51
